Territorio;Periodo;Provenienza;Arrivi Hotel;Arrivi Altro;Arrivi Totali
Belluno;2008-01;Italia;40528.0;16561.0;57089.0
Belluno;2008-01;Paesi esteri;17769.0;6747.0;24516.0
Belluno;2008-02;Italia;47364.0;18918.0;66282.0
Belluno;2008-02;Paesi esteri;23572.0;9838.0;33410.0
Belluno;2008-03;Italia;35097.0;12963.0;48060.0
Belluno;2008-03;Paesi esteri;20660.0;7211.0;27871.0
Belluno;2008-04;Italia;7672.0;6181.0;13853.0
Belluno;2008-04;Paesi esteri;2618.0;967.0;3585.0
Belluno;2008-05;Italia;12674.0;6844.0;19518.0
Belluno;2008-05;Paesi esteri;7085.0;2358.0;9443.0
Belluno;2008-06;Italia;21834.0;16580.0;38414.0
Belluno;2008-06;Paesi esteri;12953.0;5520.0;18473.0
Belluno;2008-07;Italia;42100.0;42195.0;84295.0
Belluno;2008-07;Paesi esteri;20432.0;18385.0;38817.0
Belluno;2008-08;Italia;63864.0;72223.0;136087.0
Belluno;2008-08;Paesi esteri;14157.0;19022.0;33179.0
Belluno;2008-09;Italia;19236.0;17970.0;37206.0
Belluno;2008-09;Paesi esteri;12407.0;6928.0;19335.0
Belluno;2008-10;Italia;8295.0;4211.0;12506.0
Belluno;2008-10;Paesi esteri;4340.0;918.0;5258.0
Belluno;2008-11;Italia;6424.0;3090.0;9514.0
Belluno;2008-11;Paesi esteri;1298.0;383.0;1681.0
Belluno;2008-12;Italia;40210.0;30643.0;70853.0
Belluno;2008-12;Paesi esteri;11007.0;4054.0;15061.0
Belluno;2009-01;Italia;42876.0;20709.0;63585.0
Belluno;2009-01;Paesi esteri;18603.0;8561.0;27164.0
Belluno;2009-02;Italia;41383.0;17264.0;58647.0
Belluno;2009-02;Paesi esteri;20750.0;9238.0;29988.0
Belluno;2009-03;Italia;28678.0;9793.0;38471.0
Belluno;2009-03;Paesi esteri;15355.0;5701.0;21056.0
Belluno;2009-04;Italia;10192.0;8024.0;18216.0
Belluno;2009-04;Paesi esteri;4898.0;1511.0;6409.0
Belluno;2009-05;Italia;10169.0;7310.0;17479.0
Belluno;2009-05;Paesi esteri;6648.0;2338.0;8986.0
Belluno;2009-06;Italia;19062.0;15480.0;34542.0
Belluno;2009-06;Paesi esteri;12421.0;5203.0;17624.0
Belluno;2009-07;Italia;44930.0;43086.0;88016.0
Belluno;2009-07;Paesi esteri;19178.0;18600.0;37778.0
Belluno;2009-08;Italia;68097.0;75920.0;144017.0
Belluno;2009-08;Paesi esteri;14887.0;19843.0;34730.0
Belluno;2009-09;Italia;21811.0;17691.0;39502.0
Belluno;2009-09;Paesi esteri;14667.0;7519.0;22186.0
Belluno;2009-10;Italia;8596.0;4526.0;13122.0
Belluno;2009-10;Paesi esteri;6078.0;1037.0;7115.0
Belluno;2009-11;Italia;6821.0;3085.0;9906.0
Belluno;2009-11;Paesi esteri;1561.0;426.0;1987.0
Belluno;2009-12;Italia;41420.0;29011.0;70431.0
Belluno;2009-12;Paesi esteri;9715.0;3783.0;13498.0
Belluno;2010-01;Italia;43850.0;17143.0;60993.0
Belluno;2010-01;Paesi esteri;17774.0;7478.0;25252.0
Belluno;2010-02;Italia;42149.0;16467.0;58616.0
Belluno;2010-02;Paesi esteri;21261.0;9513.0;30774.0
Belluno;2010-03;Italia;29215.0;10385.0;39600.0
Belluno;2010-03;Paesi esteri;18152.0;6571.0;24723.0
Belluno;2010-04;Italia;10405.0;8078.0;18483.0
Belluno;2010-04;Paesi esteri;4597.0;1455.0;6052.0
Belluno;2010-05;Italia;9360.0;6174.0;15534.0
Belluno;2010-05;Paesi esteri;6700.0;2169.0;8869.0
Belluno;2010-06;Italia;19062.0;15793.0;34855.0
Belluno;2010-06;Paesi esteri;15068.0;5519.0;20587.0
Belluno;2010-07;Italia;51795.0;48529.0;100324.0
Belluno;2010-07;Paesi esteri;21726.0;20747.0;42473.0
Belluno;2010-08;Italia;64271.0;69787.0;134058.0
Belluno;2010-08;Paesi esteri;16787.0;19803.0;36590.0
Belluno;2010-09;Italia;22033.0;17283.0;39316.0
Belluno;2010-09;Paesi esteri;15434.0;8967.0;24401.0
Belluno;2010-10;Italia;9158.0;4851.0;14009.0
Belluno;2010-10;Paesi esteri;6037.0;961.0;6998.0
Belluno;2010-11;Italia;6513.0;3069.0;9582.0
Belluno;2010-11;Paesi esteri;1772.0;434.0;2206.0
Belluno;2010-12;Italia;37738.0;26417.0;64155.0
Belluno;2010-12;Paesi esteri;9906.0;4078.0;13984.0
Belluno;2011-01;Italia;46094.0;18005.0;64099.0
Belluno;2011-01;Paesi esteri;18927.0;8461.0;27388.0
Belluno;2011-02;Italia;37210.0;14958.0;52168.0
Belluno;2011-02;Paesi esteri;21330.0;10064.0;31394.0
Belluno;2011-03;Italia;31248.0;11487.0;42735.0
Belluno;2011-03;Paesi esteri;18608.0;7172.0;25780.0
Belluno;2011-04;Italia;8908.0;6596.0;15504.0
Belluno;2011-04;Paesi esteri;3391.0;1576.0;4967.0
Belluno;2011-05;Italia;10013.0;6188.0;16201.0
Belluno;2011-05;Paesi esteri;7544.0;2293.0;9837.0
Belluno;2011-06;Italia;19834.0;15937.0;35771.0
Belluno;2011-06;Paesi esteri;17171.0;6264.0;23435.0
Belluno;2011-07;Italia;50734.0;47271.0;98005.0
Belluno;2011-07;Paesi esteri;24830.0;20373.0;45203.0
Belluno;2011-08;Italia;65070.0;69716.0;134786.0
Belluno;2011-08;Paesi esteri;18641.0;20657.0;39298.0
Belluno;2011-09;Italia;23127.0;18737.0;41864.0
Belluno;2011-09;Paesi esteri;18266.0;10501.0;28767.0
Belluno;2011-10;Italia;9824.0;4822.0;14646.0
Belluno;2011-10;Paesi esteri;7390.0;1145.0;8535.0
Belluno;2011-11;Italia;6822.0;2588.0;9410.0
Belluno;2011-11;Paesi esteri;1902.0;458.0;2360.0
Belluno;2011-12;Italia;31783.0;23148.0;54931.0
Belluno;2011-12;Paesi esteri;7800.0;2968.0;10768.0
Belluno;2012-01;Italia;40729.0;16954.0;57683.0
Belluno;2012-01;Paesi esteri;20165.0;8479.0;28644.0
Belluno;2012-02;Italia;33016.0;15087.0;48103.0
Belluno;2012-02;Paesi esteri;22975.0;10447.0;33422.0
Belluno;2012-03;Italia;27312.0;9986.0;37298.0
Belluno;2012-03;Paesi esteri;17422.0;6706.0;24128.0
Belluno;2012-04;Italia;8762.0;7464.0;16226.0
Belluno;2012-04;Paesi esteri;3783.0;1446.0;5229.0
Belluno;2012-05;Italia;9102.0;5539.0;14641.0
Belluno;2012-05;Paesi esteri;8397.0;2381.0;10778.0
Belluno;2012-06;Italia;22405.0;18026.0;40431.0
Belluno;2012-06;Paesi esteri;18568.0;7249.0;25817.0
Belluno;2012-07;Italia;46496.0;45754.0;92250.0
Belluno;2012-07;Paesi esteri;24992.0;20795.0;45787.0
Belluno;2012-08;Italia;71333.0;73234.0;144567.0
Belluno;2012-08;Paesi esteri;19644.0;22068.0;41712.0
Belluno;2012-09;Italia;21404.0;19245.0;40649.0
Belluno;2012-09;Paesi esteri;19006.0;10571.0;29577.0
Belluno;2012-10;Italia;8229.0;4347.0;12576.0
Belluno;2012-10;Paesi esteri;5740.0;1205.0;6945.0
Belluno;2012-11;Italia;7287.0;3696.0;10983.0
Belluno;2012-11;Paesi esteri;1436.0;458.0;1894.0
Belluno;2012-12;Italia;36845.0;25594.0;62439.0
Belluno;2012-12;Paesi esteri;11634.0;4056.0;15690.0
Belluno;2013-01;Italia;34598.0;14824.0;49422.0
Belluno;2013-01;Paesi esteri;18174.0;7991.0;26165.0
Belluno;2013-02;Italia;36207.0;15169.0;51376.0
Belluno;2013-02;Paesi esteri;24731.0;10878.0;35609.0
Belluno;2013-03;Italia;29285.0;11269.0;40554.0
Belluno;2013-03;Paesi esteri;18831.0;6904.0;25735.0
Belluno;2013-04;Italia;8298.0;6374.0;14672.0
Belluno;2013-04;Paesi esteri;2714.0;943.0;3657.0
Belluno;2013-05;Italia;10041.0;5121.0;15162.0
Belluno;2013-05;Paesi esteri;7481.0;2200.0;9681.0
Belluno;2013-06;Italia;21353.0;17854.0;39207.0
Belluno;2013-06;Paesi esteri;17569.0;6137.0;23706.0
Belluno;2013-07;Italia;45402.0;44840.0;90242.0
Belluno;2013-07;Paesi esteri;28621.0;22636.0;51257.0
Belluno;2013-08;Italia;69412.0;74389.0;143801.0
Belluno;2013-08;Paesi esteri;21268.0;22208.0;43476.0
Belluno;2013-09;Italia;22443.0;18836.0;41279.0
Belluno;2013-09;Paesi esteri;19670.0;11192.0;30862.0
Belluno;2013-10;Italia;8522.0;4960.0;13482.0
Belluno;2013-10;Paesi esteri;5536.0;1195.0;6731.0
Belluno;2013-11;Italia;8077.0;3459.0;11536.0
Belluno;2013-11;Paesi esteri;1449.0;339.0;1788.0
Belluno;2013-12;Italia;37014.0;23402.0;60416.0
Belluno;2013-12;Paesi esteri;11880.0;4098.0;15978.0
Belluno;2014-01;Italia;36297.0;14922.0;51219.0
Belluno;2014-01;Paesi esteri;19145.0;8279.0;27424.0
Belluno;2014-02;Italia;31117.0;11729.0;42846.0
Belluno;2014-02;Paesi esteri;25590.0;8914.0;34504.0
Belluno;2014-03;Italia;33895.0;11379.0;45274.0
Belluno;2014-03;Paesi esteri;20548.0;7313.0;27861.0
Belluno;2014-04;Italia;9050.0;6958.0;16008.0
Belluno;2014-04;Paesi esteri;3554.0;1219.0;4773.0
Belluno;2014-05;Italia;11350.0;5887.0;17237.0
Belluno;2014-05;Paesi esteri;7631.0;2173.0;9804.0
Belluno;2014-06;Italia;19817.0;14999.0;34816.0
Belluno;2014-06;Paesi esteri;19142.0;7328.0;26470.0
Belluno;2014-07;Italia;41133.0;38679.0;79812.0
Belluno;2014-07;Paesi esteri;27947.0;19144.0;47091.0
Belluno;2014-08;Italia;56647.0;64573.0;121220.0
Belluno;2014-08;Paesi esteri;21729.0;19697.0;41426.0
Belluno;2014-09;Italia;19119.0;16817.0;35936.0
Belluno;2014-09;Paesi esteri;18842.0;9563.0;28405.0
Belluno;2014-10;Italia;9405.0;4591.0;13996.0
Belluno;2014-10;Paesi esteri;5780.0;1506.0;7286.0
Belluno;2014-11;Italia;7628.0;3033.0;10661.0
Belluno;2014-11;Paesi esteri;1825.0;455.0;2280.0
Belluno;2014-12;Italia;34459.0;22743.0;57202.0
Belluno;2014-12;Paesi esteri;11130.0;3564.0;14694.0
Belluno;2015-01;Italia;35620.0;15030.0;50650.0
Belluno;2015-01;Paesi esteri;20090.0;9666.0;29756.0
Belluno;2015-02;Italia;37258.0;15665.0;52923.0
Belluno;2015-02;Paesi esteri;25588.0;11847.0;37435.0
Belluno;2015-03;Italia;25976.0;8761.0;34737.0
Belluno;2015-03;Paesi esteri;17556.0;6236.0;23792.0
Belluno;2015-04;Italia;10542.0;7996.0;18538.0
Belluno;2015-04;Paesi esteri;4416.0;1453.0;5869.0
Belluno;2015-05;Italia;10707.0;7169.0;17876.0
Belluno;2015-05;Paesi esteri;7891.0;2387.0;10278.0
Belluno;2015-06;Italia;19252.0;16740.0;35992.0
Belluno;2015-06;Paesi esteri;20888.0;8171.0;29059.0
Belluno;2015-07;Italia;51407.0;48102.0;99509.0
Belluno;2015-07;Paesi esteri;32725.0;23677.0;56402.0
Belluno;2015-08;Italia;70702.0;73867.0;144569.0
Belluno;2015-08;Paesi esteri;25501.0;24079.0;49580.0
Belluno;2015-09;Italia;21621.0;18308.0;39929.0
Belluno;2015-09;Paesi esteri;21754.0;11111.0;32865.0
