Territorio;Periodo;Provenienza;Presenze Hotel;Presenze Altro;Presenze Totali
Belluno;2008-01;Italia;172094.0;176816.0;348910.0
Belluno;2008-02;Italia;192915.0;134070.0;326985.0
Belluno;2008-03;Italia;143459.0;113461.0;256920.0
Belluno;2008-04;Italia;19842.0;48967.0;68809.0
Belluno;2008-05;Italia;25706.0;48990.0;74696.0
Belluno;2008-06;Italia;63471.0;106402.0;169873.0
Belluno;2008-07;Italia;224925.0;404823.0;629748.0
Belluno;2008-08;Italia;319722.0;759925.0;1079647.0
Belluno;2008-09;Italia;76619.0;156531.0;233150.0
Belluno;2008-10;Italia;19404.0;40534.0;59938.0
Belluno;2008-11;Italia;15216.0;29199.0;44415.0
Belluno;2008-12;Italia;131667.0;175939.0;307606.0
Belluno;2009-01;Italia;177723.0;172555.0;350278.0
Belluno;2009-02;Italia;168790.0;122087.0;290877.0
Belluno;2009-03;Italia;117268.0;103192.0;220460.0
Belluno;2009-04;Italia;27929.0;59955.0;87884.0
Belluno;2009-05;Italia;22323.0;48875.0;71198.0
Belluno;2009-06;Italia;55587.0;107894.0;163481.0
Belluno;2009-07;Italia;228752.0;373832.0;602584.0
Belluno;2009-08;Italia;333270.0;762854.0;1096124.0
Belluno;2009-09;Italia;76298.0;152256.0;228554.0
Belluno;2009-10;Italia;20225.0;39530.0;59755.0
Belluno;2009-11;Italia;15913.0;28445.0;44358.0
Belluno;2009-12;Italia;134836.0;174930.0;309766.0
Belluno;2010-01;Italia;180948.0;164527.0;345475.0
Belluno;2010-02;Italia;167893.0;115798.0;283691.0
Belluno;2010-03;Italia;123193.0;98148.0;221341.0
Belluno;2010-04;Italia;35546.0;56625.0;92171.0
Belluno;2010-05;Italia;20147.0;42079.0;62226.0
Belluno;2010-06;Italia;53499.0;103323.0;156822.0
Belluno;2010-07;Italia;238696.0;375752.0;614448.0
Belluno;2010-08;Italia;331493.0;715751.0;1047244.0
Belluno;2010-09;Italia;74188.0;142840.0;217028.0
Belluno;2010-10;Italia;19183.0;36763.0;55946.0
Belluno;2010-11;Italia;15084.0;25432.0;40516.0
Belluno;2010-12;Italia;121746.0;156338.0;278084.0
Belluno;2011-01;Italia;189802.0;160882.0;350684.0
Belluno;2011-02;Italia;141294.0;98733.0;240027.0
